age,country,player_id,team_id,player_name,team,position,R1,R2,R3,R4,R5,R6,appearance,Total
28,Chile,37265,3,Alexis Sánchez,Arsenal,Forward,6.8549122633,5.6411985593,33.297,10.39,1.00224,1.3052193416,3346,99
25,Denmark,80607,6,Christian Eriksen,Tottenham Hotspur,Midfielder,10.6316890878,6.8371363741,17.112,13.507,2.088,1.212328628,3231,98
24,England,78830,6,Harry Kane,Tottenham Hotspur,Forward,3.648062751,5.3981847386,38.014,7.273,1.16928,0.6634393507,2551,96
29,Spain,18507,8,Diego Costa,Chelsea,Forward,3.6931754721,7.1679591837,29.18,6.234,1.2528,1.5200006443,3193,95
26,Belgium,42786,8,Eden Hazard,Chelsea,Midfielder,8.0956117962,6.7436734694,21.985,5.195,2.088,0.6652357715,3004,95
24,Belgium,66749,11,Romelu Lukaku,Everton,Forward,4.1988335396,4.6786206897,35.136,6.234,1.08576,1.1432496564,3392,93
21,England,108823,6,Dele Alli,Tottenham Hotspur,Midfielder,4.4109202514,6.610713102,25.863,6.234,2.088,1.4762511187,3124,93
31,England,19419,8,Gary Cahill,Chelsea,Defender,1.5252778372,7.753877551,9.473,0.0,14.69952,6.9747012632,3454,93
28,Spain,41328,8,César Azpilicueta,Chelsea,Defender,2.9510968149,8.0008163265,2.239,4.156,14.69952,5.4736959235,3564,91
26,Brazil,92217,14,Roberto Firmino,Liverpool,Forward,6.3731132186,5.9081162299,20.029,6.234,0.8352,2.0436758581,3178,89
26,Belgium,61366,43,Kevin De Bruyne,Manchester City,Midfielder,9.9658325135,5.1911510279,10.434,16.624,1.2528,1.3333518545,2957,89
36,Sweden,9808,1,Zlatan Ibrahimovic,Manchester United,Forward,4.2585267722,4.5357625864,26.863,5.195,1.08576,0.7075294831,2614,86
28,Iceland,55422,80,Gylfi Sigurdsson,Swansea City,Midfielder,6.9474079401,3.6172786067,19.351,13.507,1.1136,1.7588591416,3465,86
31,England,15157,14,James Milner,Liverpool,Midfielder,6.2980991339,6.0642778924,10.673,3.117,1.5312,4.3095914025,3262,85
29,Germany,37605,3,Mesut Özil,Arsenal,Midfielder,9.2272086,4.892635451,11.512,8.312,1.5312,0.9374382006,2902,85
