,球队,球员,位置,team_id,出场次数,出场时间,进球数,射门数,射正球门数,长传次数,长传成功次数,传中次数,传中成功次数,直传次数,直传成功次数,任意球次数,任意球成功次数,角球次数,角球成功次数,直塞球成功次数,助攻次数,关键传球次数,向前传球成功次数,过人次数,过人成功次数,抢断次数,被过人次数,争高空球次数,争高空球成功次数,犯规次数,被犯规次数,拦截次数,封堵射门次数,解围次数,防守失误导致丢球数,防守失误导致射门数,黄牌次数,第二张黄牌次数,直接红牌次数,进球效率,被进球效率,积分
88894,Everton,Ross Barkley,Midfielder,11,1.0,77.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,1.0,9.0,6.0,0.0,0.0,7.0,17.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0769230769231,0.1,1.0
19159,Everton,Ashley Williams,Defender,11,1.0,96.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0769230769231,0.1,1.0
7645,Everton,Phil Jagielka,Defender,11,1.0,96.0,0.0,2.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,13.0,11.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0769230769231,0.1,1.0
49413,Crystal Palace,James Tomkins,Defender,31,1.0,96.0,0.0,2.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,2.0,1.0,6.0,4.0,0.0,0.0,3.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0769230769231,1.0
55452,Crystal Palace,Yannick Bolasie,Midfielder,11,1.0,96.0,0.0,2.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,7.0,6.0,0.0,0.0,4.0,2.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0769230769231,0.1,1.0
55494,Crystal Palace,Joel Ward,Defender,31,1.0,96.0,0.0,1.0,0.0,13.0,9.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,29.0,1.0,1.0,4.0,1.0,2.0,2.0,0.0,3.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0769230769231,1.0
77762,Everton,Bryan Oviedo,Defender,11,1.0,80.0,0.0,0.0,0.0,10.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,20.0,1.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0769230769231,0.1,1.0
82403,Crystal Palace,Wilfried Zaha,Midfielder,31,1.0,96.0,0.0,1.0,0.0,1.0,0.0,6.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,8.0,2.0,3.0,0.0,0.0,1.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0769230769231,1.0
18805,Crystal Palace,Joe Ledley,Midfielder,31,1.0,96.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0769230769231,1.0
50471,Crystal Palace,James McArthur,Midfielder,31,1.0,78.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0769230769231,1.0
